episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/mean_td_error,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/cur_lr
nan,nan,nan,nan,0,7,1008,0,1008,False,0,1,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-32-27,1720110747,163.58492374420166,163.58492374420166,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,163.58492374420166,0,1,[],[],0.176,181375.308,33.622,951.75,1.755,1008,1008,32,32,1008,1,14.723504273504274,8.564529914529915,"[3.9054943e+01 9.7777252e+00 3.7247570e+01 4.0733910e+01 2.0515804e+00
 6.3684716e+00 1.3734583e+01 9.3162096e-01 8.9958038e+01 3.3214095e+00
 4.6495929e+00 2.5079842e+01 2.8662621e+01 2.2874352e+01 9.4859009e+00
 3.7053055e+01 6.0224199e+00 3.0712744e+01 2.1997404e+01 3.4642756e-02
 3.8369450e+01 2.3663954e+01 2.6628876e+01 2.9508312e+01 2.3053164e+01
 2.3378386e+01 2.6875023e+01 2.0376220e+00 1.6581404e+01 1.0644051e+01
 2.2668741e+01 3.5222325e+00]",21.146364212036133,0.0,4.8612294,-0.5222335457801819,-1.9393243789672852,0.8081510066986084,0.0005
nan,nan,nan,nan,0,7,2016,0,2016,False,0,2,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-35-57,1720110957,210.48923897743225,374.0741627216339,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,374.0741627216339,0,2,[],[],0.176,182138.32,8.714,3672.248,1.803,2016,2016,1184,1184,2016,3,14.320999999999998,9.279666666666667,"[19.29794    8.877437  13.4284935 26.298317  13.151432   5.596451
 25.61676   46.975624  25.322151  37.07136   10.004037  30.092516
 -3.3395672 46.893166  45.713707  10.259668  15.681894  17.215855
 23.61069   44.154095  -6.3011856 39.257767  52.57684   15.357442
 16.643417  60.21051   42.500248  11.456938  18.149475  53.323154
 25.61676   22.54629  ]",25.414365768432617,0.0,2.5166872,-12.275896072387695,-26.321392059326172,-5.862059116363525,0.0005
-6481.315476190475,-8421.496428571429,-7214.6872448979575,301.0,7,7,3024,0,3024,False,7,3,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-38-36,1720111116,158.93159317970276,533.0057559013367,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,533.0057559013367,0,3,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571]","[301, 301, 301, 301, 301, 301, 301]",0.17,187717.102,8.595,3722.996,1.81,3024,3024,2336,2336,3024,5,13.076211453744493,9.989427312775328,"[ 28.559166   -12.977974    22.713533    21.30442    -12.248001
 -20.658672    24.080585    31.760887   -18.554558    20.354439
  -1.7779465   -2.1750278    1.1145287   34.1972       3.0691185
 -15.159203     6.170105     9.638697    16.650227    23.114689
   6.3571053   28.817932    -7.583908     0.64624214  20.508087
  13.116947     9.64349     19.311132   -24.645077    -6.2585106
   7.4488373   28.038322  ]",7.9555253982543945,0.0,2.4403384,-38.02645492553711,-63.420074462890625,-13.121039390563965,0.0005
-6481.315476190475,-8421.496428571429,-7214.6872448979575,301.0,0,7,4032,0,4032,False,7,4,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-41-55,1720111315,198.7709789276123,731.776734828949,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,731.776734828949,0,4,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571]","[301, 301, 301, 301, 301, 301, 301]",0.187,170695.317,8.729,3665.779,1.822,4032,4032,3488,3488,4032,7,13.871126760563381,10.821830985915494,"[-3.3272820e+00  6.5307617e-02 -1.5982143e+01  2.3067997e+01
  1.7128685e+01  2.6536148e+01  1.5829121e+01 -9.2259979e+00
  5.8312843e+01  1.7192535e+00  1.8195724e-01  1.2117638e+01
  1.8132996e+01 -9.1040154e+00  2.2714615e+01  3.4060936e+01
  3.3800011e+00  3.1401947e+01  1.9543286e+02  3.3987843e+01
  2.7259323e+01  6.6314697e-02 -7.8423691e+00  6.6561871e+00
  5.7046509e-01  4.0031666e+01 -2.2456139e+01  3.4610239e+02
  1.2010574e+00  8.2774353e-01 -6.6780777e+00 -1.3086412e+01]",25.90884017944336,0.0,3.5109603,-46.980960845947266,-89.41619873046875,-18.161895751953125,0.0005
-5729.0,-8421.496428571429,-7118.986479591836,301.0,7,7,5040,0,5040,False,14,5,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-44-39,1720111479,163.31652402877808,895.093258857727,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,895.093258857727,0,5,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571, -7844.25, -5729.0, -7912.375, -6819.375, -8056.5, -6709.625, -6091.875]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.175,182957.644,8.63,3708.174,1.803,5040,5040,4640,4640,5040,9,12.647210300429185,9.844206008583692,"[ -7.12175     3.260147   -5.308548   15.221104   28.434853  -14.919739
 -12.65844   -17.003319   -4.5797462 -23.900713   14.959648   14.35981
  35.230995  -19.115833  -25.352995   14.022949  -20.835388  -14.463676
  30.348885  -36.85599    94.8885      8.939102   -5.1567574  14.644932
  -0.8454819 -20.603844   28.252785   54.620373   41.48681   375.75842
 -24.268997    2.0026321]",16.35752296447754,0.0,2.7021677,-63.32890319824219,-109.0313720703125,-7.632638454437256,0.0005
-5729.0,-8421.496428571429,-7118.986479591836,301.0,0,7,6048,0,6048,False,14,6,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-47-45,1720111665,185.9368031024933,1081.0300619602203,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1081.0300619602203,0,6,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571, -7844.25, -5729.0, -7912.375, -6819.375, -8056.5, -6709.625, -6091.875]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.173,185000.314,8.617,3713.786,1.766,6048,6048,5792,5792,6048,11,12.447169811320757,9.47433962264151,"[ 2.5157795e+01  2.4810398e+01 -2.2491081e+01 -2.3933533e+01
  3.1273376e+01 -4.3759899e+01  3.8283997e+00  1.5538902e+00
  1.1216560e+01  1.8142876e+01 -1.9412918e+00 -2.3927082e+01
  4.8571465e+01 -2.8651848e+01 -1.9130814e+01  1.7218506e+01
 -2.4189449e+01 -1.2795139e+01  1.0179901e-01  2.4002365e+01
 -1.2127670e+01  1.4047714e+01 -3.2356140e+01  1.0438447e+02
  1.3366615e+01  2.7293831e+01 -8.8821754e+00  1.7430260e+01
  3.5598907e+01  2.4593290e+01 -1.0948769e+01  3.3055466e+01]",6.578534126281738,0.0,2.2578027,-70.75776672363281,-105.95204162597656,-14.571577072143555,0.0005
-5088.25,-8421.496428571429,-6800.925510204082,301.0,7,7,7056,0,7056,False,21,7,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-50-41,1720111841,175.9310119152069,1256.9610738754272,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1256.9610738754272,0,7,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571, -7844.25, -5729.0, -7912.375, -6819.375, -8056.5, -6709.625, -6091.875, -6181.5, -5831.375, -6766.25, -6905.75, -6060.625, -5088.25, -6319.875]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.175,183057.458,8.986,3561.068,1.877,7056,7056,6944,6944,7056,13,12.268924302788845,9.517131474103586,"[ -2.302597   60.343292  -19.89848    23.919151  -20.864319   70.00299
  18.893951   38.388573  -34.883274   22.107574    1.730957  -51.609974
  28.227112   64.662674  -19.260597    9.357239   12.417488   10.468529
  21.46534   -25.379662   58.825188   15.756836    9.299606  -14.095444
 -10.703304   -6.4456863  56.791504  -11.757332   10.7890625  11.428413
  38.544617   -7.5590057]",11.208138465881348,0.0,3.2509758,-92.34249877929688,-133.01417541503906,-25.131444931030273,0.0005
-5088.25,-8421.496428571429,-6800.925510204082,301.0,0,7,8064,0,8064,False,21,8,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-54-06,1720112046,205.75795006752014,1462.7190239429474,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1462.7190239429474,0,8,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571, -7844.25, -5729.0, -7912.375, -6819.375, -8056.5, -6709.625, -6091.875, -6181.5, -5831.375, -6766.25, -6905.75, -6060.625, -5088.25, -6319.875]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.177,180424.423,8.784,3642.925,1.76,8064,8064,8096,8096,8064,15,12.372448979591837,9.510204081632654,"[-11.110054  -74.20528    20.719086   33.27899     4.346466   29.179443
 -28.533562  -11.872223   -9.510963   21.364616    9.57489   -21.414555
   5.107727   84.931274   66.52356    82.855675    0.5726776   2.0535126
 -22.280449   14.767319  -24.218506   -9.181633  -37.72995   -21.342659
   4.134918  -15.176773  -31.304329   19.930962   63.866386   52.06584
  15.532623   -5.199852 ]",6.491412162780762,0.0,2.2230434,-104.9881591796875,-152.76370239257812,-7.276798248291016,0.0005
-3561.0,-8421.496428571429,-6098.555739795918,301.0,7,7,9072,0,9072,False,28,9,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_17-57-11,1720112231,184.9556164741516,1647.674640417099,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1647.674640417099,0,9,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571, -7844.25, -5729.0, -7912.375, -6819.375, -8056.5, -6709.625, -6091.875, -6181.5, -5831.375, -6766.25, -6905.75, -6060.625, -5088.25, -6319.875, -3600.625, -4421.625, -4418.125, -3739.25, -3778.5, -4421.0, -3561.0]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.175,182609.154,8.677,3687.776,1.743,9072,9072,9248,9248,9072,17,13.51628787878788,10.505303030303029,"[ 2.8284920e+01 -5.2524803e+01 -3.6102142e+00 -8.8141479e+00
 -3.1619232e+01  4.1807877e+01  3.8966660e+01  4.1767883e-01
 -3.0857391e+01  2.8284920e+01 -2.9732635e+01  7.5927429e+00
  5.6012825e+01 -3.4393723e+01 -4.7244850e+01 -4.4724426e+00
 -1.8789001e+01 -8.2678146e+00  6.7240295e+00  2.2043457e+00
 -3.5174683e+01  6.5474030e+01  2.0073578e+01 -9.6830643e+01
 -3.1482727e+01 -1.7639236e+01  4.6210968e+01  4.1770648e+02
  1.5892677e+01  2.5256836e+01  2.8153786e+01  1.0833389e+01]",12.13888168334961,0.0,4.2538476,-125.2965087890625,-190.0137176513672,-64.19921875,0.0005
-3561.0,-8421.496428571429,-6098.555739795918,301.0,0,7,10080,0,10080,True,28,10,97ca2_00000,70d3010c893040398e015cbc3f6a40f6,2024-07-04_18-00-08,1720112408,176.7424554824829,1824.417095899582,1898241,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1824.417095899582,0,10,"[-8073.424999999999, -7233.70357142857, -8421.496428571429, -7180.638095238095, -6481.315476190475, -6546.22857142857, -6566.003571428571, -7844.25, -5729.0, -7912.375, -6819.375, -8056.5, -6709.625, -6091.875, -6181.5, -5831.375, -6766.25, -6905.75, -6060.625, -5088.25, -6319.875, -3600.625, -4421.625, -4418.125, -3739.25, -3778.5, -4421.0, -3561.0]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.175,182857.94,8.792,3639.714,1.836,10080,10080,10400,10400,10080,19,13.80952380952381,10.709920634920637,"[ -28.289368   -76.19107     -1.7157135   -9.625717    19.38861
   18.297775    -9.735657  -134.5557    -101.991425   -11.968536
  -12.057785   -15.2715       4.0219116    9.727661   -97.824356
    5.965027    -2.9526367  -21.370514    16.50792    -12.158829
   -2.1303558  -13.966858    -2.4862518  -56.9227       6.1616364
  -18.735977    28.541183    28.635147    -9.783981     6.225525
   97.99901     18.00235  ]",-11.883161544799805,0.0,8.043065,-173.37295532226562,-221.04684448242188,-93.33793640136719,0.0005
