episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/policy_loss
nan,nan,nan,nan,0,7,1400,0,1400,False,0,1,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-29-40,1720103380,233.83330082893372,233.83330082893372,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,233.83330082893372,0,1,[],[],233776.278,5.989,15.27,91683.07,44.139,31717.705,1.52,1400,1400,1400,1400,11.869760479041917,8.37694610778443,0.0,-1499.2840053013392
-6218.359523809522,-7725.026190476188,-7172.815476190475,301.0,7,7,2800,0,2800,False,7,2,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-34-13,1720103653,272.78514337539673,506.61844420433044,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,506.61844420433044,0,2,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096]","[301, 301, 301, 301, 301, 301, 301]",253316.002,5.527,7.739,180911.504,41.818,33478.675,1.457,2800,2800,2800,2800,11.762724935732647,9.22313624678663,0.0,-1003.967546735491
-6218.359523809522,-7725.026190476188,-7172.815476190475,301.0,0,7,4200,0,4200,False,7,3,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-38-34,1720103914,261.87083673477173,768.4892809391022,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,768.4892809391022,0,3,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096]","[301, 301, 301, 301, 301, 301, 301]",256185.405,5.465,5.228,267798.86,41.051,34104.324,1.524,4200,4200,4200,4200,12.993048128342245,9.351069518716578,0.0,-1598.441685267857
-6218.359523809522,-8946.375,-7439.372023809524,301.0,7,7,5600,0,5600,False,14,4,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-42-18,1720104138,222.9714002609253,991.4606812000275,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,991.4606812000275,0,4,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096, -7655.625, -7189.875, -6914.625, -8048.0, -7507.5, -8946.375, -7679.5]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",247896.109,5.648,3.971,352589.504,40.617,34468.335,1.493,5600,5600,5600,5600,12.505974842767296,9.367295597484278,0.0,-1483.6085553850446
-6218.359523809522,-9709.625,-7575.045634920634,301.0,7,7,7000,0,7000,False,21,5,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-46-33,1720104393,255.22145318984985,1246.6821343898773,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1246.6821343898773,0,5,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096, -7655.625, -7189.875, -6914.625, -8048.0, -7507.5, -8946.375, -7679.5, -7971.875, -6948.375, -8299.75, -6379.0, -8298.25, -9709.625, -7317.875]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",249371.047,5.614,3.218,435080.881,40.738,34365.779,1.586,7000,7000,7000,7000,12.710468319559228,9.407438016528927,0.0,-1090.9378400530134
-6218.359523809522,-9709.625,-7575.045634920634,301.0,0,7,8400,0,8400,False,21,6,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-51-01,1720104661,268.4835181236267,1515.165652513504,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1515.165652513504,0,6,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096, -7655.625, -7189.875, -6914.625, -8048.0, -7507.5, -8946.375, -7679.5, -7971.875, -6948.375, -8299.75, -6379.0, -8298.25, -9709.625, -7317.875]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",252566.328,5.543,2.715,515632.736,41.132,34036.913,1.634,8400,8400,8400,8400,12.742968749999998,9.438541666666667,0.0,-1583.084926060268
-6218.359523809522,-9927.625,-7716.355654761904,301.0,7,7,9800,0,9800,False,28,7,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-55-01,1720104901,239.25637292861938,1754.4220254421234,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,1754.4220254421234,0,7,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096, -7655.625, -7189.875, -6914.625, -8048.0, -7507.5, -8946.375, -7679.5, -7971.875, -6948.375, -8299.75, -6379.0, -8298.25, -9709.625, -7317.875, -8360.25, -7064.5, -7522.25, -8882.75, -9927.625, -7197.0, -8027.625]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",250673.089,5.585,2.36,593142.458,41.095,34067.248,1.625,9800,9800,9800,9800,13.370967741935484,9.912316715542522,0.0,-1354.2983921595983
-5755.0,-9927.625,-7586.766666666666,301.0,7,7,11200,0,11200,False,35,8,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_15-59-41,1720105181,280.28429341316223,2034.7063188552856,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,2034.7063188552856,0,8,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096, -7655.625, -7189.875, -6914.625, -8048.0, -7507.5, -8946.375, -7679.5, -7971.875, -6948.375, -8299.75, -6379.0, -8298.25, -9709.625, -7317.875, -8360.25, -7064.5, -7522.25, -8882.75, -9927.625, -7197.0, -8027.625, -6840.75, -7926.875, -7534.625, -6693.375, -7504.25, -7224.0, -5755.0]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",254381.407,5.504,2.091,669586.852,40.932,34203.268,1.606,11200,11200,11200,11200,13.634250000000002,10.68675,0.0,-968.3270263671875
-5755.0,-9927.625,-7586.766666666666,301.0,0,7,12600,0,12600,False,35,9,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_16-04-33,1720105473,291.6753613948822,2326.381680250168,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,2326.381680250168,0,9,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096, -7655.625, -7189.875, -6914.625, -8048.0, -7507.5, -8946.375, -7679.5, -7971.875, -6948.375, -8299.75, -6379.0, -8298.25, -9709.625, -7317.875, -8360.25, -7064.5, -7522.25, -8882.75, -9927.625, -7197.0, -8027.625, -6840.75, -7926.875, -7534.625, -6693.375, -7504.25, -7224.0, -5755.0]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",258531.175,5.415,1.883,743388.48,40.87,34255.129,1.632,12600,12600,12600,12600,14.152884615384616,10.70745192307692,0.0,-1597.8368094308037
-5755.0,-9927.625,-7600.374007936509,301.0,7,7,14000,0,14000,True,42,10,46cbe_00000,1077e0104c02447aa4754258034b5e8c,2024-07-04_16-08-32,1720105712,239.63797116279602,2566.019651412964,1638642,vm-he-a100-01.doc.ic.ac.uk,146.169.1.59,2566.019651412964,0,10,"[-6832.664285714287, -6218.359523809522, -7550.851190476189, -7725.026190476188, -7201.3607142857145, -7040.008333333331, -7641.438095238096, -7655.625, -7189.875, -6914.625, -8048.0, -7507.5, -8946.375, -7679.5, -7971.875, -6948.375, -8299.75, -6379.0, -8298.25, -9709.625, -7317.875, -8360.25, -7064.5, -7522.25, -8882.75, -9927.625, -7197.0, -8027.625, -6840.75, -7926.875, -7534.625, -6693.375, -7504.25, -7224.0, -5755.0, -5977.75, -7863.125, -7280.375, -7893.625, -8201.5, -7330.75, -9131.75]","[301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301]",256647.035,5.455,1.714,816909.281,40.882,34244.548,1.61,14000,14000,14000,14000,14.743859649122806,9.816081871345027,0.0,-1274.3711722237724
